group,variable,value
07-03,2002,97
07-04,2002,80
07-05,2002,30
07-06,2002,48
07-07,2002,133
07-08,2002,192
07-09,2002,47
07-10,2002,34
07-11,2002,43
07-12,2002,71
07-13,2002,115
07-14,2002,179
07-15,2002,97
07-16,2002,169
07-17,2002,172
07-18,2002,102
07-19,2002,84
07-20,2002,101
07-21,2002,84
07-22,2002,87
07-23,2002,31
07-24,2002,43
07-25,2002,82
07-26,2002,126
07-27,2002,93
07-28,2002,87
07-29,2002,64
07-30,2002,64
07-31,2002,140
08-01,2002,187
08-02,2002,77
08-03,2002,80
08-04,2002,115
08-05,2002,41
08-06,2002,23
08-07,2002,27
08-08,2002,38
08-09,2002,107
08-10,2002,159
08-11,2002,195
08-12,2002,159
08-13,2002,119
08-14,2002,46
08-15,2002,71
08-16,2002,56
08-17,2002,60
08-18,2002,55
08-19,2002,50
08-20,2002,50
08-21,2002,101
08-22,2002,71
08-23,2002,106
08-24,2002,73
08-25,2002,53
08-26,2002,62
08-27,2002,97
08-28,2002,126
08-29,2002,122
08-30,2002,93
08-31,2002,97
09-01,2002,84
09-02,2002,128
09-03,2002,61
09-04,2002,44
09-05,2002,41
09-06,2002,124
09-07,2002,140
09-08,2002,190
09-09,2002,174
09-10,2002,119
09-11,2002,55
09-12,2002,67
09-13,2002,97
09-14,2002,166
09-15,2002,66
09-16,2002,200
09-17,2002,80
09-18,2002,84
09-19,2002,96
09-20,2002,66
09-21,2002,57
09-22,2002,38
09-23,2002,57
09-24,2002,39
09-25,2002,51
09-26,2002,80
09-27,2002,65
09-28,2002,43
09-29,2002,88
09-30,2002,106
10-01,2002,84
10-02,2002,97
10-03,2002,35
10-04,2002,87
10-05,2002,28
10-06,2002,91
10-07,2002,30
10-08,2002,43
10-09,2002,68
10-10,2002,101
10-11,2002,108
10-12,2002,74
10-13,2002,26
10-14,2002,57
10-15,2002,94
10-16,2002,30
10-17,2002,55
10-18,2002,69
10-19,2002,33
10-20,2002,55
10-21,2002,70
10-22,2002,70
10-23,2002,31
10-24,2002,119
10-25,2002,123
10-26,2002,69
10-27,2002,41
10-28,2002,36
10-29,2002,38
10-30,2002,31
10-31,2002,46
11-01,2002,42
11-02,2002,55
11-03,2002,59
11-04,2002,81
11-05,2002,108
11-06,2002,63
11-07,2002,105
11-08,2002,53
11-09,2002,113
11-10,2002,120
11-11,2002,53
11-12,2002,34
11-13,2002,96
11-14,2002,52
11-15,2002,19
11-16,2002,52
11-17,2002,29
11-18,2002,100
11-19,2002,81
11-20,2002,101
11-21,2002,88
11-22,2002,31
11-23,2002,57
11-24,2002,63
11-25,2002,43
11-26,2002,32
11-27,2002,35
11-28,2002,105
11-29,2002,65
11-30,2002,31
12-01,2002,61
12-02,2002,39
12-03,2002,47
12-04,2002,115
12-05,2002,66
12-06,2002,74
12-07,2002,126
12-08,2002,63
12-09,2002,77
12-10,2002,121
12-11,2002,156
12-12,2002,134
12-13,2002,101
12-14,2002,67
12-15,2002,86
12-16,2002,48
12-17,2002,107
12-18,2002,105
12-19,2002,111
12-20,2002,45
12-21,2002,44
12-22,2002,66
12-23,2002,44
12-24,2002,62
12-25,2002,24
12-26,2002,52
12-27,2002,82
12-28,2002,115
12-29,2002,100
12-30,2002,81
12-31,2002,71
01-01,2003,28
01-02,2003,39
01-03,2003,54
01-04,2003,51
01-05,2003,69
01-06,2003,47
01-07,2003,51
01-08,2003,54
01-09,2003,32
01-10,2003,28
01-11,2003,39
01-12,2003,62
01-13,2003,59
01-14,2003,31
01-15,2003,54
01-16,2003,79
01-17,2003,46
01-18,2003,89
01-19,2003,63
01-20,2003,44
01-21,2003,56
01-22,2003,48
01-23,2003,52
01-24,2003,56
01-25,2003,64
01-26,2003,38
01-27,2003,70
01-28,2003,110
01-29,2003,65
01-30,2003,88
01-31,2003,109
02-01,2003,86
02-02,2003,86
02-03,2003,103
02-04,2003,23
02-05,2003,53
02-06,2003,73
02-07,2003,55
02-08,2003,99
02-09,2003,47
02-10,2003,54
02-11,2003,68
02-12,2003,32
02-13,2003,47
02-14,2003,95
02-15,2003,56
02-16,2003,48
02-17,2003,62
02-18,2003,84
02-19,2003,67
02-20,2003,91
02-21,2003,121
02-22,2003,83
02-23,2003,69
02-24,2003,64
02-25,2003,73
02-26,2003,102
02-27,2003,108
02-28,2003,149
03-01,2003,160
03-02,2003,80
03-03,2003,94
03-04,2003,111
03-05,2003,55
03-06,2003,87
03-07,2003,121
03-08,2003,93
03-09,2003,29
03-10,2003,56
03-11,2003,71
03-12,2003,166
03-13,2003,113
03-14,2003,158
03-15,2003,137
03-16,2003,153
03-17,2003,138
03-18,2003,138
03-19,2003,121
03-20,2003,79
03-21,2003,81
03-22,2003,65
03-23,2003,65
03-24,2003,124
03-25,2003,51
03-26,2003,115
03-27,2003,113
03-28,2003,116
03-29,2003,25
03-30,2003,35
03-31,2003,54
04-01,2003,110
04-02,2003,142
04-03,2003,107
04-04,2003,30
04-05,2003,37
04-06,2003,50
04-07,2003,40
04-08,2003,59
04-09,2003,74
04-10,2003,101
04-11,2003,105
04-12,2003,41
04-13,2003,77
04-14,2003,116
04-15,2003,133
04-16,2003,113
04-17,2003,104
04-18,2003,98
04-19,2003,66
04-20,2003,122
04-21,2003,86
04-22,2003,39
04-23,2003,51
04-24,2003,114
04-25,2003,95
04-26,2003,62
04-27,2003,111
04-28,2003,119
04-29,2003,61
04-30,2003,63
05-01,2003,72
05-02,2003,40
05-03,2003,62
05-04,2003,64
05-05,2003,105
05-06,2003,48
05-07,2003,86
05-08,2003,80
05-09,2003,65
05-10,2003,89
05-11,2003,62
05-12,2003,36
05-13,2003,105
05-14,2003,64
